timestamp,bid_price,ask_price,bid_volume,ask_volume
2024-01-01 00:00:00,100.24835707650561,100.26505637979598,239,925
2024-01-01 00:01:00,100.17922492592002,100.1934076395334,185,702
2024-01-01 00:02:00,100.50306919497037,100.53852640495211,604,222
2024-01-01 00:03:00,101.26458412317439,101.30284315223386,453,59
2024-01-01 00:04:00,101.14750743581271,101.15877088160573,941,789
2024-01-01 00:05:00,101.03043895733812,101.07788744718786,914,314
2024-01-01 00:06:00,101.82004536509181,101.83212421643788,651,487
2024-01-01 00:07:00,102.20376272966827,102.23541458308031,856,809
2024-01-01 00:08:00,101.9690255367008,102.00738795747884,390,296
2024-01-01 00:09:00,102.24030555849379,102.28514432344363,806,716
2024-01-01 00:10:00,102.00859671208755,102.04716018937285,994,595
2024-01-01 00:11:00,101.77573183530242,101.81780095862521,753,548
2024-01-01 00:12:00,101.89671297108544,101.92029097878715,367,178
2024-01-01 00:13:00,100.94007284875654,100.9826658533064,667,721
2024-01-01 00:14:00,100.07761393250003,100.09081852635542,412,650
2024-01-01 00:15:00,99.79647016787953,99.84226283412195,871,654
2024-01-01 00:16:00,99.29005460771232,99.32195830275847,431,376
2024-01-01 00:17:00,99.44717827400996,99.48987018480845,282,802
2024-01-01 00:18:00,98.99316623624935,99.02125896763009,826,884
2024-01-01 00:19:00,98.28701438558171,98.32275749338957,393,453
2024-01-01 00:20:00,99.01983877004248,99.05089487647993,598,678
2024-01-01 00:21:00,98.90695061979922,98.94621420066943,866,655
2024-01-01 00:22:00,98.94071472214318,98.9539799214244,602,724
2024-01-01 00:23:00,98.22834062903645,98.24075471239607,578,660
2024-01-01 00:24:00,97.95614926677386,97.97603339613427,905,674
2024-01-01 00:25:00,98.0116105616288,98.02799234883332,838,408
2024-01-01 00:26:00,97.43611377291765,97.48098511558133,868,652
2024-01-01 00:27:00,97.62396278209047,97.64273134158479,620,907
2024-01-01 00:28:00,97.32364343713108,97.37267804736385,984,767
2024-01-01 00:29:00,97.17779656223443,97.20127239390528,232,66
2024-01-01 00:30:00,96.87694325611974,96.89422797274729,90,323
2024-01-01 00:31:00,97.8030823483742,97.8446702886599,600,734
2024-01-01 00:32:00,97.79633373600524,97.83268204702527,446,165
2024-01-01 00:33:00,97.2674782715273,97.29740610018543,753,910
2024-01-01 00:34:00,97.67875072757889,97.7109652696164,828,742
2024-01-01 00:35:00,97.06832890259338,97.10709697372427,543,140
2024-01-01 00:36:00,97.17276070009575,97.191898889749,708,131
2024-01-01 00:37:00,96.19292563815587,96.24277899479814,956,373
2024-01-01 00:38:00,95.52883261370665,95.57782434019252,382,163
2024-01-01 00:39:00,95.62726323164121,95.66327625909508,176,818
2024-01-01 00:40:00,95.99649652163892,96.01447821967608,607,107
2024-01-01 00:41:00,96.08218066223391,96.11938979193116,606,203
2024-01-01 00:42:00,96.02435652103978,96.03724445739894,50,926
2024-01-01 00:43:00,95.87380467324513,95.88503077333337,217,453
2024-01-01 00:44:00,95.13454367806142,95.15485099360187,669,677
2024-01-01 00:45:00,94.77462157386407,94.80312649213364,68,904
2024-01-01 00:46:00,94.54430218838418,94.58903308860052,381,315
